sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,ble_address,odr_hz,capture_elapsed_us,read_failures,overflow_ram
0,0.0,-5133,-1.252452,-12.282358405799998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
1,0.0011804811320754716,-5202,-1.269288,-12.447463165199999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
2,0.002360962264150943,-5267,-1.285148,-12.602996634199998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
3,0.0035414433962264145,-5292,-1.291248,-12.6628171992,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
4,0.004721924528301886,-5301,-1.293444,-12.684352602599999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
5,0.005902405660377358,-5344,-1.303936,-12.787243974399999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
6,0.007082886792452829,-5356,-1.306864,-12.8159578456,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
7,0.008263367924528302,-5386,-1.314184,-12.8877425236,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
8,0.009443849056603773,-5008,-1.221952,-11.983255580799998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
9,0.010624330188679244,-4915,-1.19926,-11.760723079,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
10,0.011804811320754716,-4838,-1.180472,-11.5764757388,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
11,0.012985292452830187,-4729,-1.153876,-11.315658075399998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
12,0.014165773584905658,-4576,-1.1165439999999998,-10.949556217599998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
13,0.01534625471698113,-4424,-1.079456,-10.585847182399998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
14,0.016526735849056604,-4316,-1.053104,-10.3274223416,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
15,0.017707216981132073,-4168,-1.016992,-9.9732845968,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
16,0.018887698113207545,-2896,-0.706624,-6.9296142496,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
17,0.020068179245283018,-2759,-0.673196,-6.6017975534,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
18,0.021248660377358487,-2609,-0.636596,-6.2428741634,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
19,0.02242914150943396,-2361,-0.5760839999999999,-5.649454158599999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
20,0.023609622641509433,-2224,-0.5426559999999999,-5.321637462399999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
21,0.024790103773584902,-2077,-0.506788,-4.9698925402,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
22,0.025970584905660375,-1934,-0.47189600000000004,-4.6277189084,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
23,0.027151066037735847,-623,-0.152012,-1.4907284798,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
24,0.028331547169811316,-435,-0.10614,-1.040877831,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
25,0.02951202830188679,-317,-0.077348,-0.7585247641999999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
26,0.03069250943396226,-212,-0.051728,-0.5072783912,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
27,0.031872990566037734,-6,-0.001464,-0.014356935599999999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
28,0.03305347169811321,83,0.020252,0.19860427579999998,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
29,0.03423395283018867,187,0.045628,0.4474578262,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
30,0.035414433962264145,318,0.077592,0.7609175867999999,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
31,0.03659491509433962,1375,0.3355,3.290131075,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
32,0.03777539622641509,1484,0.36209600000000003,3.5509487384000002,XIAO-IMU-3,5A:0F:BC:E6:CD:9D,3330,1001048,0,0
